otu_id	kingdom	phylum	class	order	family	genus	species	strain
OTU1	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus graminis	paenibacillus graminis
OTU2	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus polymyxa	paenibacillus polymyxa
OTU3	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU4	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus terrae	paenibacillus terrae hpl_003
OTU5	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. stm3074
OTU6	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__rhodopseudomonas	s__rhodopseudomonas palustris	rhodopseudomonas palustris
OTU7	k__bacteria	p__proteobacteria	c__gammaproteobacteria	o__pseudomonadales	f__pseudomonadaceae	g__azotobacter	s__azotobacter vinelandii	azotobacter vinelandii ca
OTU8	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__acetobacteraceae	g__gluconacetobacter	s__gluconacetobacter diazotrophicus	gluconacetobacter diazotrophicus pa1 5
OTU9	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU10	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__rhodopseudomonas	s__rhodopseudomonas palustris	rhodopseudomonas palustris
OTU11	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__agrobacterium	s__agrobacterium tumefaciens	agrobacterium tumefaciens
OTU12	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter uraniireducens	geobacter uraniireducens rf4
OTU13	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus terrae	paenibacillus terrae hpl_003
OTU14	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus graminis	paenibacillus graminis
OTU15	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus massiliensis	paenibacillus massiliensis
OTU16	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU17	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus abekawaensis	paenibacillus abekawaensis
OTU18	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. ll4
OTU19	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus sp.	paenibacillus sp. as2(2010)
OTU20	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus wynnii	paenibacillus wynnii
OTU21	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiaceae	g__burkholderia	s__burkholderia xenovorans	burkholderia xenovorans
OTU22	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus graminis	paenibacillus graminis
OTU23	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus graminis	paenibacillus graminis
OTU24	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU25	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__phyllobacteriaceae	g__mesorhizobium	s__mesorhizobium septentrionale	mesorhizobium septentrionale
OTU26	k__bacteria	p__firmicutes	c__clostridia	o__clostridiales	f__clostridiaceae	g__clostridium	s__clostridium sp.	clostridium sp. mk31
OTU27	k__bacteria	p__actinobacteria	c__actinobacteria	o__micrococcales	f__micrococcaceae	g__arthrobacter	s__arthrobacter sp.	arthrobacter sp. ccbau 10897
OTU28	k__bacteria	p__firmicutes	c__clostridia	o__clostridiales	f__clostridiaceae	g__clostridium	s__clostridium sp.	clostridium sp. mk31
OTU29	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU30	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus polymyxa	paenibacillus polymyxa
OTU31	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__comamonadaceae	g__polaromonas	s__polaromonas naphthalenivorans	polaromonas naphthalenivorans cj2
OTU32	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus sabinae	paenibacillus sabinae
OTU33	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU34	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU35	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. ors 331
OTU36	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus durus	paenibacillus durus
OTU37	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU38	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__rhodospirillum	s__rhodospirillum rubrum	rhodospirillum rubrum f11
OTU39	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus fujiensis	paenibacillus fujiensis
OTU40	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU41	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU42	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus terrae	paenibacillus terrae hpl_003
OTU43	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU44	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU45	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus graminis	paenibacillus graminis
OTU46	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiales	g__ideonella	s__ideonella dechloratans	ideonella dechloratans
OTU47	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU48	k__bacteria	p__bacteroidetes	c__bacteroidia	o__bacteroidales	f__porphyromonadaceae	g__paludibacter	s__paludibacter propionicigenes	paludibacter propionicigenes wb4
OTU49	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU50	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU51	k__bacteria	p__chloroflexi	c__dehalococcoidia	o__dehalococcoidales	f__dehalococcoidaceae	g__dehalococcoides	s__dehalococcoides mccartyi	dehalococcoides mccartyi 195
OTU52	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus graminis	paenibacillus graminis
OTU53	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU54	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU55	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU56	k__bacteria	p__firmicutes	c__clostridia	o__clostridiales	f__peptococcaceae	g__desulfosporosinus	s__desulfosporosinus orientis	desulfosporosinus orientis dsm 765
OTU57	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU58	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__rhodocyclales	f__rhodocyclaceae	g__dechloromonas	s__dechloromonas sp.	dechloromonas sp. siul
OTU59	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU60	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__phyllobacteriaceae	g__mesorhizobium	s__mesorhizobium septentrionale	mesorhizobium septentrionale
OTU61	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU62	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__magnetospirillum	s__magnetospirillum magneticum	magnetospirillum magneticum amb_1
OTU63	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__rhodopseudomonas	s__rhodopseudomonas palustris	rhodopseudomonas palustris dx_1
OTU64	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__phyllobacteriaceae	g__mesorhizobium	s__mesorhizobium septentrionale	mesorhizobium septentrionale
OTU65	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__sinorhizobium	s__sinorhizobium sp.	sinorhizobium sp. tj170
OTU66	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus sabinae	paenibacillus sabinae
OTU67	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__skermanella	s__skermanella aerolata	skermanella aerolata
OTU68	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU69	k__bacteria	p__firmicutes	c__negativicutes	o__selenomonadales	f__veillonellaceae	g__pelosinus	s__pelosinus fermentans	pelosinus fermentans dsm 17108
OTU70	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU71	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU72	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus wynnii	paenibacillus wynnii
OTU73	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU74	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter uraniireducens	geobacter uraniireducens rf4
OTU75	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus durus	paenibacillus durus
OTU76	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU77	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus massiliensis	paenibacillus massiliensis
OTU78	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__rhodospirillum	s__rhodospirillum rubrum	rhodospirillum rubrum f11
OTU79	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU80	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__methylobacteriaceae	g__methylobacterium	s__methylobacterium sp.	methylobacterium sp. 4_46
OTU81	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter daltonii	geobacter daltonii frc_32
OTU82	k__bacteria	p__proteobacteria	c__gammaproteobacteria	o__pseudomonadales	f__pseudomonadaceae	g__azotobacter	s__azotobacter vinelandii	azotobacter vinelandii ca
OTU83	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__alcaligenaceae	g__azohydromonas	s__azohydromonas lata	azohydromonas lata
OTU84	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus abekawaensis	paenibacillus abekawaensis
OTU85	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus macerans	paenibacillus macerans
OTU86	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU87	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiales	g__ideonella	s__ideonella dechloratans	ideonella dechloratans
OTU88	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU89	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. ors 285
OTU90	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__rhodopseudomonas	s__rhodopseudomonas palustris	rhodopseudomonas palustris dx_1
OTU91	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus fujiensis	paenibacillus fujiensis
OTU92	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__comamonadaceae	g__polaromonas	s__polaromonas naphthalenivorans	polaromonas naphthalenivorans cj2
OTU93	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m21
OTU94	k__bacteria	p__firmicutes	c__clostridia	o__clostridiales	f__lachnospiraceae	g__cellulosilyticum	s__cellulosilyticum lentocellum	clostridium lentocellum dsm 5427
OTU95	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus borealis	paenibacillus borealis
OTU96	k__bacteria	p__firmicutes	c__clostridia	o__clostridiales	f__ruminococcaceae	g__ruminiclostridium	s__ruminiclostridium thermocellum	clostridium thermocellum ad2
OTU97	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus graminis	paenibacillus graminis
OTU98	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU99	k__bacteria	p__firmicutes	c__clostridia	o__clostridiales	f__eubacteriaceae	g__acetobacterium	s__acetobacterium woodii	acetobacterium woodii dsm 1030
OTU100	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiales	g__leptothrix	s__leptothrix cholodnii	leptothrix cholodnii sp_6
OTU101	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU102	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU103	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU104	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__oxalobacteraceae	g__herbaspirillum	s__herbaspirillum seropedicae	herbaspirillum seropedicae
OTU105	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfovibrionales	f__desulfovibrionaceae	g__desulfovibrio	s__desulfovibrio africanus	desulfovibrio africanus str. walvis bay
OTU106	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus sabinae	paenibacillus sabinae
OTU107	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU108	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU109	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU110	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus fujiensis	paenibacillus fujiensis
OTU111	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__comamonadaceae	g__polaromonas	s__polaromonas naphthalenivorans	polaromonas naphthalenivorans cj2
OTU112	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU113	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter uraniireducens	geobacter uraniireducens rf4
OTU114	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU115	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__azospirillum	s__azospirillum brasilense	azospirillum brasilense
OTU116	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__azospirillum	s__azospirillum brasilense	azospirillum brasilense
OTU117	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiaceae	g__burkholderia	s__burkholderia xenovorans	burkholderia xenovorans
OTU118	k__bacteria	p__cyanobacteria	c__cyanobacteria	o__chroococcales	f__chroococcales	g__gloeocapsopsis	s__gloeocapsopsis crepidinum	gloeocapsopsis crepidinum lege 06123
OTU119	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus wynnii	paenibacillus wynnii
OTU120	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. s23321
OTU121	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU122	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__rhodopseudomonas	s__rhodopseudomonas palustris	rhodopseudomonas palustris
OTU123	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter uraniireducens	geobacter uraniireducens rf4
OTU124	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus graminis	paenibacillus graminis
OTU125	k__bacteria	p__firmicutes	c__clostridia	o__clostridiales	f__clostridiaceae	g__clostridium	s__clostridium autoethanogenum	clostridium autoethanogenum dsm 10061
OTU126	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU127	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. ors 324
OTU128	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus polymyxa	paenibacillus polymyxa
OTU129	k__bacteria	p__firmicutes	c__clostridia	o__clostridiales	f__peptococcaceae	g__desulfosporosinus	s__desulfosporosinus orientis	desulfosporosinus orientis dsm 765
OTU130	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU131	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU132	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__azospirillum	s__azospirillum brasilense	azospirillum brasilense
OTU133	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus graminis	paenibacillus graminis
OTU134	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU135	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU136	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__rhodopseudomonas	s__rhodopseudomonas palustris	rhodopseudomonas palustris haa2
OTU137	k__bacteria	p__firmicutes	c__clostridia	o__clostridiales	f__ruminococcaceae	g__ruminiclostridium	s__clostridium cellobioparum	clostridium cellobioparum
OTU138	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. ors 285
OTU139	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__comamonadaceae	g__polaromonas	s__polaromonas naphthalenivorans	polaromonas naphthalenivorans cj2
OTU140	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU141	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__rhodocyclales	f__rhodocyclaceae	g__dechloromonas	s__dechloromonas sp.	dechloromonas sp. siul
OTU142	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus sabinae	paenibacillus sabinae
OTU143	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus durus	paenibacillus durus
OTU144	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus graminis	paenibacillus graminis
OTU145	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus sabinae	paenibacillus sabinae
OTU146	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus fujiensis	paenibacillus fujiensis
OTU147	k__bacteria	p__bacteroidetes	c__bacteroidia	o__bacteroidales	f__porphyromonadaceae	g__paludibacter	s__paludibacter propionicigenes	paludibacter propionicigenes wb4
OTU148	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiales	g__leptothrix	s__leptothrix cholodnii	leptothrix cholodnii sp_6
OTU149	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus abekawaensis	paenibacillus abekawaensis
OTU150	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiales	g__rubrivivax	s__rubrivivax benzoatilyticus	rubrivivax benzoatilyticus ja2
OTU151	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__rhodocyclales	f__rhodocyclaceae	g__azonexus	s__azonexus hydrophilus	azonexus hydrophilus
OTU152	k__bacteria	p__firmicutes	c__clostridia	o__clostridiales	f__ruminococcaceae	g__ruminiclostridium	s__clostridium cellobioparum	clostridium cellobioparum
OTU153	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. irbg 228
OTU154	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU155	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__oxalobacteraceae	g__herbaspirillum	s__herbaspirillum seropedicae	herbaspirillum seropedicae
OTU156	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU157	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU158	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__rhodocyclales	f__rhodocyclaceae	g__dechloromonas	s__dechloromonas aromatica	dechloromonas aromatica rcb
OTU159	k__bacteria	p__firmicutes	c__clostridia	o__clostridiales	f__lachnospiraceae	g__cellulosilyticum	s__cellulosilyticum lentocellum	clostridium lentocellum dsm 5427
OTU160	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus wynnii	paenibacillus wynnii
OTU161	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
