otu_id	kingdom	phylum	class	order	family	genus	species	strain
OTU1716	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__agrobacterium	s__agrobacterium tumefaciens	agrobacterium tumefaciens
OTU1717	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU1718	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU1720	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU1721	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus fujiensis	paenibacillus fujiensis
OTU1722	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU1723	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__rhodocyclales	f__rhodocyclaceae	g__azoarcus	s__azoarcus sp.	azoarcus sp. kh32c
OTU1724	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus sabinae	paenibacillus sabinae
OTU1725	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiales	g__ideonella	s__ideonella dechloratans	ideonella dechloratans
OTU1726	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m21
OTU1728	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus terrae	paenibacillus terrae hpl_003
